student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,email_valid,email_status,phone_digits,phone_formatted,phone_operator,hobbies,skills_tech_python,skills_tech_excel,skills_tech_sql,skills_soft_count,skills_soft_list,family_siblings,family_income_father,family_income_mother,family_income_total,devices_count,has_laptop,has_phone,latest_device_year,devices_types_str,devices_brands_str,addr_raw,addr_postal,addr_city,addr_district
1,Claudia Short,20,,,+1-619-379-4152x102,Katieland,someonegmail.com,2022-09-03 23:22:44,Data Science,,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}",False,invalid_format,16193794152102,+998 79 415 21 02,Unknown,"gun, nice",2.0,5.0,1.0,2.0,"with, onto",4.0,1198.0,1089.0,2287.0,2,True,True,2021,"laptop, phone","HP, Xiaomi","Apartment 37, South Kevin district, Tashkent, UZ, 100539",100539,Tashkent,Kevin
2,,20,Female,,,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data Science,,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,"{hobbies:['against', 'good']}",True,valid,,,,,,,,,,,,,,0,False,False,0,,,UZ 100332 Tashkent South Patricia,100332,Tashkent,Unknown
3,Kathryn Moyer,20,,,,Lake Stevenmouth,,2017-08-14 00:00:00,DATA SCIENCE,,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}",False,missing,,,,"fast, clearly",5.0,3.0,1.0,2.0,"despite, clearly",1.0,263.0,202.0,465.0,2,True,True,2023,"laptop, phone","HP, Samsung","Wendyshire 12-kv, dom 1, Tashkent",Unknown,Tashkent,Unknown
4,Ruben Wilson,,fmale,81.0,,Port Pamelafort,special,1973-09-17 00:00:00,data-sciens,,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}",False,invalid_format,,,,"left, role",3.0,5.0,1.0,2.0,"full, series",4.0,508.0,698.0,1206.0,2,True,True,2024,"laptop, phone","Lenovo, Samsung","Apartment 16, North Tamara district, Tashkent, UZ, 100097",100097,Tashkent,Tamara
5,Robert Pruitt,20,Female,,001-182-659-5631x02803,Kingburgh,six,2023-11-25 00:00:00,data_sciense,,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",False,invalid_format,001182659563102803,+998 56 310 28 03,Unknown,"sort, science",1.0,4.0,1.0,2.0,"whose, save",3.0,862.0,1058.0,1920.0,2,True,True,2023,"laptop, phone","Lenovo, Apple","BROKEN,ADDRESS,DATA,,,",Unknown,Unknown,Unknown
6,David Martinez,20,Male,,001-074-828-6016x937,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,DATA SCIENCE,110,pending,15.5,average,8500.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{hobbies:['order', 'keep']}",True,valid,0010748286016937,+998 28 601 69 37,Unknown,,,,,,,,,,,0,False,False,0,,,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551",100551,Tashkent,Jamesfurt
7,,18,FEMALE,71.0,314.018.0928x3134,Sharpfurt,nguyenlisa@@horn.org,1982-01-16 00:00:00,data science,,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",False,invalid_format,31401809283134,+998 80 928 31 34,Unknown,"fall, teacher",4.0,1.0,4.0,2.0,"teacher, good",3.0,1270.0,931.0,2201.0,2,True,True,2023,"laptop, phone","HP, Xiaomi","Lake Tracishire 29-kv, dom 8, Tashkent",Unknown,Tashkent,Unknown
8,Nicholas Dennis,21,FEMALE,,8091556011,Matthewfort,avoid,2000-06-26 00:00:00,python,63,active,,excellent,135.0,1978-09-23 00:00:00,"70576 Butler Harbor Suite 847, Janetberg",INVALID_JSON_DATA,False,invalid_format,8091556011,+998 09 155 60 11,Unknown,,,,,,,,,,,0,False,False,0,,,"70576 Butler Harbor Suite 847, Janetberg",70576,Unknown,Unknown
9,,,fmale,77.0,854-964-5423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,ds,110,active,15.5,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}",True,valid,8549645423,+998 54 964 54 23,Unknown,"require, open",1.0,5.0,4.0,2.0,"partner, walk",0.0,850.0,1062.0,1912.0,2,True,True,2020,"laptop, phone","Dell, Apple","Williamsborough 2-kv, dom 18, Tashkent",Unknown,Tashkent,Unknown
10,Elizabeth Villegas,22,femlae,,(205)467-4476x0583,South Dianatown,anthonywalker@@gmail.com,2013-02-11 07:12:29,data_sciense,99,inactive,37.0,average,21500.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",False,invalid_format,20546744760583,+998 74 476 05 83,Unknown,"management, to",1.0,1.0,4.0,2.0,"beat, southern",3.0,597.0,1150.0,1747.0,2,True,True,2023,"laptop, phone","Dell, Xiaomi","BROKEN,ADDRESS,DATA,,,",Unknown,Unknown,Unknown
